data1,data2,data3,data4
61,52,14,1
59,28,7,1
58,21,7,1
45,21,6,1
41,20,6,1
37,20,6,3
36,19,5,9
36,19,5,3
33,18,4,1
33,18,4,1
32,17,4,1
31,16,4,1
29,15,4,2
29,15,4,1
27,15,4,3
27,15,4,2
27,15,4,2
27,14,4,2
27,14,4,1
27,13,4,1
26,13,4,4
26,13,3,2
26,13,3,8
25,13,3,1
25,12,3,1
24,12,3,1
24,12,3,3
23,11,3,1
23,11,3,1
23,11,3,6
23,10,3,1
22,10,3,1
22,10,3,1
21,10,3,1
21,10,3,1
21,10,3,1
20,10,3,1
20,10,3,1
20,10,3,2
19,10,3,1
19,9,3,1
19,9,3,1
19,9,3,1
19,9,3,1
19,9,3,1
19,9,3,1
19,9,3,1
19,9,3,1
19,9,3,1
18,9,3,2
18,9,3,1
18,9,3,2
18,8,3,2
18,8,3,1
18,8,3,1
18,8,3,1
17,8,3,1
17,8,3,1
17,8,3,1
17,8,3,6
17,8,3,1
17,8,3,2
17,8,3,1
17,8,3,1
17,8,3,1
17,8,2,1
16,8,2,1
16,8,2,1
16,8,2,1
16,7,2,1
16,7,2,3
16,7,2,3
16,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
15,7,2,1
14,7,2,2
14,7,2,1
14,7,2,7
14,7,2,1
14,7,2,1
14,7,2,1
14,7,2,1
14,7,2,1
14,7,2,1
14,7,2,1
14,7,2,1
14,7,2,1
13,7,2,1
13,6,2,2
13,6,2,2
13,6,2,2
13,6,2,1
13,6,2,1
13,6,2,1
13,6,2,1
13,6,2,5
13,6,2,1
13,6,2,1
13,6,2,2
13,6,2,1
13,6,2,1
13,6,2,5
13,6,2,1
13,6,2,1
13,6,2,1
13,6,2,1
13,6,2,1
12,6,2,2
12,6,2,1
12,6,2,1
12,6,2,1
12,6,2,1
12,6,2,1
12,6,2,8
12,6,2,1
12,6,2,1
12,6,2,3
12,6,2,2
12,6,2,1
12,6,2,3
12,6,2,1
12,6,2,5
12,6,2,4
11,6,2,4
11,6,2,1
11,6,2,8
11,6,2,2
11,6,2,2
11,6,2,1
11,6,2,1
11,6,2,1
11,6,2,2
11,6,2,5
11,6,2,2
11,6,2,6
11,6,2,3
11,6,2,4
11,6,2,3
11,6,2,11
11,6,2,2
11,6,2,1
11,6,2,13
11,6,2,12
11,6,2,4
11,6,2,5
11,6,2,5
11,5,2,11
11,5,2,1
11,5,2,5
11,5,2,1
10,5,2,2
10,5,2,1
10,5,2,3
10,5,2,8
10,5,2,2
10,5,2,5
10,5,2,1
10,5,2,3
10,5,2,5
10,5,2,3
10,5,2,2
10,5,2,2
10,5,2,8
10,5,2,4
10,5,2,1
10,5,2,1
10,5,2,4
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,2
10,5,2,2
10,5,2,5
10,5,2,14
10,5,2,1
10,5,2,2
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,9
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,1
10,5,2,2
10,5,2,1
10,5,2,1
9,5,2,4
9,5,2,2
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,2
9,5,2,2
9,5,2,3
9,5,2,1
9,5,2,2
9,5,2,4
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,2
9,5,2,2
9,5,2,2
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,1
9,5,2,2
9,5,2,4
9,5,2,1
9,5,2,1
9,5,1,1
9,5,1,1
9,5,1,1
9,5,1,1
9,5,1,1
9,5,1,1
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,2
9,4,1,3
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,1
9,4,1,2
9,4,1,2
9,4,1,1
9,4,1,5
9,4,1,2
9,4,1,1
9,4,1,1
9,4,1,3
9,4,1,7
9,4,1,8
9,4,1,2
9,4,1,1
9,4,1,1
9,4,1,3
8,4,1,13
8,4,1,1
8,4,1,1
8,4,1,3
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,7
8,4,1,9
8,4,1,1
8,4,1,1
8,4,1,2
8,4,1,5
8,4,1,9
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,2
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,7
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,3
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,2
8,4,1,1
8,4,1,1
8,4,1,2
8,4,1,1
8,4,1,5
8,4,1,2
8,4,1,2
8,4,1,3
8,4,1,2
8,4,1,2
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,4
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,2
8,4,1,1
8,4,1,1
8,4,1,4
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,3
8,4,1,3
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,3
8,4,1,2
8,4,1,1
8,4,1,1
8,4,1,3
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,1
8,4,1,2
8,4,1,1
8,4,1,5
8,4,1,7
8,4,1,1
8,4,1,1
7,4,1,1
7,4,1,1
7,4,1,2
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,2
7,4,1,4
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,3
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,2
7,4,1,5
7,4,1,5
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,10
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,2
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,3
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,11
7,4,1,1
7,4,1,2
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,2
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,4,1,1
7,3,1,2
7,3,1,1
7,3,1,1
7,3,1,1
7,3,1,2
7,3,1,2
7,3,1,1
7,3,1,1
7,3,1,1
7,3,1,1
7,3,1,1
7,3,1,7
7,3,1,18
7,3,1,7
7,3,1,1
7,3,1,1
7,3,1,1
7,3,1,3
7,3,1,6
7,3,1,1
7,3,1,1
7,3,1,2
7,3,1,5
7,3,1,2
7,3,1,2
7,3,1,1
7,3,1,2
7,3,1,1
7,3,1,1
7,3,1,1
7,3,1,2
7,3,1,1
7,3,1,2
7,3,1,4
7,3,1,5
7,3,1,1
7,3,1,3
7,3,1,2
7,3,1,1
7,3,1,2
7,3,1,2
7,3,1,1
7,3,1,2
7,3,1,1
7,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,3
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,2
6,3,1,1
6,3,1,3
6,3,1,15
6,3,1,3
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,3
6,3,1,1
6,3,1,3
6,3,1,3
6,3,1,1
6,3,1,4
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,4
6,3,1,1
6,3,1,1
6,3,1,4
6,3,1,8
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,4
6,3,1,5
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,13
6,3,1,21
6,3,1,10
6,3,1,1
6,3,1,5
6,3,1,3
6,3,1,5
6,3,1,1
6,3,1,1
6,3,1,16
6,3,1,1
6,3,1,10
6,3,1,1
6,3,1,7
6,3,1,6
6,3,1,1
6,3,1,16
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,6
6,3,1,10
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,9
6,3,1,1
6,3,1,6
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,2
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,5
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,3
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,3
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,2
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,4
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
6,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,9
5,3,1,8
5,3,1,2
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,6
5,3,1,3
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,8
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,8
5,3,1,1
5,3,1,7
5,3,1,6
5,3,1,1
5,3,1,4
5,3,1,1
5,3,1,7
5,3,1,6
5,3,1,18
5,3,1,5
5,3,1,2
5,3,1,3
5,3,1,6
5,3,1,1
5,3,1,4
5,3,1,1
5,3,1,1
5,3,1,4
5,3,1,1
5,3,1,1
5,3,1,17
5,3,1,6
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,9
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,7
5,3,1,1
5,3,1,5
5,3,1,6
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,5
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,2
5,3,1,2
5,3,1,3
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,3
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,4
5,3,1,1
5,3,1,3
5,3,1,1
5,3,1,8
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,4
5,3,1,1
5,3,1,1
5,3,1,2
5,3,1,2
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,3
5,3,1,2
5,3,1,2
5,3,1,4
5,3,1,2
5,3,1,1
5,3,1,2
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,36
5,3,1,5
5,3,1,15
5,3,1,1
5,3,1,7
5,3,1,1
5,3,1,1
5,3,1,1
5,3,1,1
5,2,1,2
5,2,1,5
5,2,1,1
5,2,1,1
5,2,1,2
5,2,1,2
5,2,1,1
5,2,1,8
5,2,1,2
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,2
5,2,1,2
5,2,1,4
5,2,1,2
5,2,1,4
5,2,1,4
5,2,1,1
5,2,1,4
4,2,1,15
4,2,1,7
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,8
4,2,1,4
4,2,1,7
4,2,1,10
4,2,1,3
4,2,1,2
4,2,1,5
4,2,1,1
4,2,1,6
4,2,1,3
4,2,1,8
4,2,1,2
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,2
4,2,1,3
4,2,1,1
4,2,1,13
4,2,1,2
4,2,1,1
4,2,1,13
4,2,1,3
4,2,1,1
4,2,1,6
4,2,1,22
4,2,1,1
4,2,1,5
4,2,1,4
4,2,1,4
4,2,1,1
4,2,1,1
4,2,1,4
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,3
4,2,1,1
4,2,1,1
4,2,1,2
4,2,1,12
4,2,1,8
4,2,1,2
4,2,1,1
4,2,1,6
4,2,1,1
4,2,1,1
4,2,1,11
4,2,1,3
4,2,1,8
4,2,1,3
4,2,1,12
4,2,1,4
4,2,1,1
4,2,1,2
4,2,1,3
4,2,1,1
4,2,1,10
4,2,1,1
4,2,1,127
4,2,1,1
4,2,1,14
4,2,1,3
4,2,1,38
4,2,1,65
4,2,1,3
4,2,1,3
4,2,1,15
4,2,1,1
4,2,1,34
4,2,1,3
4,2,1,20
4,2,1,63
4,2,1,8
4,2,1,17
4,2,1,1
4,2,1,24
4,2,1,9
4,2,1,3
4,2,1,2
4,2,1,54
4,2,1,7
4,2,1,1
4,2,1,26
4,2,1,36
4,2,1,5
4,2,1,21
4,2,1,1
4,2,1,41
4,2,1,8
4,2,1,11
4,2,1,2
4,2,1,1
4,2,1,4
4,2,1,61
4,2,1,1
4,2,1,1
4,2,1,11
4,2,1,7
4,2,1,2
4,2,1,12
4,2,1,8
4,2,1,3
4,2,1,8
4,2,1,94
4,2,1,13
4,2,1,20
4,2,1,13
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,2
4,2,1,2
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,45
4,2,1,3
4,2,1,2
4,2,1,5
4,2,1,2
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,1
4,2,1,8
4,2,1,16
4,2,1,4
4,2,1,6
4,2,1,29
4,2,1,10
4,2,1,1
4,2,1,14
4,2,1,16
4,2,1,5
4,2,1,4
4,2,1,4
4,2,1,6
4,2,1,13
4,2,1,17
4,2,1,5
4,2,1,7
4,2,1,10
4,2,1,13
4,2,1,14
4,2,1,3
